date,sector,fund_flow,fund_flow_normalized,Volume,Close
2025-02-10,公用事業,3359208.354949951,42527.00906187421,5332100,78.98999786376953
2025-02-10,原物料,-850298.92578125,-9581.912849339917,4475200,88.73999786376953
2025-02-10,工業,1851756.0546875,13364.290468498573,5446400,138.55999755859375
2025-02-10,必需消費品,2225878.2958984375,27879.238451844412,7949600,79.83999633789062
2025-02-10,房地產,-117238.1362915039,-2789.391855734553,3907600,42.029998779296875
2025-02-10,科技業,4722268.609619141,19990.97699270211,3027100,236.22000122070312
2025-02-10,能源業,15005459.371948242,165787.85789180387,12935700,90.51000213623047
2025-02-10,醫療保健業,-2212312.5045776367,-15121.752962609084,7374300,146.3000030517578
2025-02-10,金融業,-18960750.0,-368814.43408435356,37921500,51.40999984741211
2025-02-10,非必需消費品,-387616.0598754883,-1712.4632181287486,2981900,226.35000610351562
2025-02-11,公用事業,3846633.039855957,48452.3626329378,5417800,79.38999938964844
2025-02-11,原物料,1133041.9326782227,12693.72513512772,4720900,89.26000213623047
2025-02-11,工業,2951695.2072143555,21294.965689466415,5787700,138.61000061035156
2025-02-11,必需消費品,5952128.972625732,73838.59232797708,9157100,80.61000061035156
2025-02-11,房地產,1408797.5017547607,33336.43061308217,3276300,42.2599983215332
2025-02-11,科技業,4583896.089172363,19396.16660456532,3228100,236.3300018310547
2025-02-11,能源業,3933959.9716186523,43116.616217949166,13113400,91.23999786376953
2025-02-11,醫療保健業,995194.5037841797,6815.000425277491,6634900,146.02999877929688
2025-02-11,金融業,9484167.652130127,184015.6671257034,45162900,51.540000915527344
2025-02-11,非必需消費品,-3129096.5209960938,-13982.914192801327,2769100,223.77999877929688
2025-02-12,公用事業,6551051.553344727,82663.11108321421,7444400,79.25
2025-02-12,原物料,3087644.6044921875,34841.39594670995,5513600,88.62000274658203
2025-02-12,工業,8617578.430175781,62559.553032129086,7694300,137.75
2025-02-12,必需消費品,6655371.58203125,82624.10092964003,10564000,80.55000305175781
2025-02-12,房地產,3212129.342651367,76661.79536216588,6834300,41.900001525878906
2025-02-12,科技業,12063427.331542969,51155.23262179143,4277800,235.82000732421875
2025-02-12,能源業,-28129070.797729492,-315914.9877414722,19399400,89.04000091552734
2025-02-12,醫療保健業,1060218.9208984375,7270.736988382728,7572200,145.82000732421875
2025-02-12,金融業,3637931.26373291,70831.99416862328,45473100,51.36000061035156
2025-02-12,非必需消費品,6440964.294433594,28787.71849601293,3951500,223.74000549316406
2025-02-13,公用事業,255301.611328125,3214.1710984166916,8510400,79.43000030517578
2025-02-13,原物料,5476080.9158325195,60737.36350272461,5215300,90.16000366210938
2025-02-13,工業,1280812.8814697266,9288.656807158408,8539100,137.88999938964844
2025-02-13,必需消費品,6687277.802276611,82133.11167608487,10132300,81.41999816894531
2025-02-13,房地產,2969009.0560913086,70305.68525395921,7069100,42.22999954223633
2025-02-13,科技業,11431208.83178711,47797.32671328011,3914800,239.16000366210938
2025-02-13,能源業,12777873.486328125,142435.33181062943,15775200,89.70999908447266
2025-02-13,醫療保健業,1762060.317993164,12036.75336662214,6293100,146.38999938964844
2025-02-13,金融業,7274467.749786377,140705.37025989746,36372200,51.70000076293945
2025-02-13,非必需消費品,6192613.873291016,27268.22416054154,3242200,227.10000610351562
2025-02-14,公用事業,-2025946.3958740234,-25612.470732687132,6986000,79.0999984741211
2025-02-14,原物料,-2744947.5303649902,-30550.33474658989,4815700,89.8499984741211
2025-02-14,工業,-3073992.919921875,-22348.18503613687,5800000,137.5500030517578
2025-02-14,必需消費品,-8062095.851898193,-100013.59373346657,10470300,80.61000061035156
2025-02-14,房地產,-1313135.8722686768,-31220.538026481037,4528100,42.060001373291016
2025-02-14,科技業,2301272.4838256836,9589.834029750982,2278500,239.97000122070312
2025-02-14,能源業,258814.55154418945,2873.482318431294,12942900,90.06999969482422
2025-02-14,醫療保健業,-9008623.828125,-62214.251645456985,5299200,144.8000030517578
2025-02-14,金融業,887192.8985595703,17127.27628622867,29574300,51.79999923706055
2025-02-14,非必需消費品,-2946018.0908203125,-12978.053263525606,1712800,227.0
2025-02-18,公用事業,3179314.235687256,39821.071912780266,7754500,79.83999633789062
2025-02-18,原物料,3166528.828430176,34800.84517829214,3557900,90.98999786376953
2025-02-18,工業,4408230.410766602,31798.530300081802,7226600,138.6300048828125
2025-02-18,必需消費品,5737851.837158203,70925.23768769937,10432400,80.9000015258789
2025-02-18,房地產,1461762.5633239746,34630.7177216144,5622200,42.209999084472656
2025-02-18,科技業,2861390.8081054688,11816.116471892788,3012000,242.16000366210938
2025-02-18,能源業,11829965.127563477,129572.45051631695,14787400,91.30000305175781
2025-02-18,醫療保健業,6820149.377441406,47191.73246482544,11366800,144.52000427246094
2025-02-18,金融業,9713974.887084961,186198.49009056122,33496800,52.16999816894531
2025-02-18,非必需消費品,-2156679.7119140625,-9527.233107009566,3783600,226.3699951171875
2025-02-19,公用事業,3190879.365539551,39756.78146785326,6256600,80.26000213623047
2025-02-19,原物料,114115.3564453125,1269.0764987662474,3804000,89.91999816894531
2025-02-19,工業,4538071.865844727,32702.10943378426,9454100,138.77000427246094
2025-02-19,必需消費品,2967411.309814453,36387.62965994138,6450800,81.55000305175781
2025-02-19,房地產,1145413.410949707,27084.733652232037,4405400,42.290000915527344
2025-02-19,科技業,812590.1870727539,3355.315103013526,2802100,242.17999267578125
2025-02-19,能源業,4170259.08203125,45319.052751187795,12265600,92.0199966430664
2025-02-19,醫療保健業,11773302.258300781,80418.73462525809,6295900,146.39999389648438
2025-02-19,金融業,4762202.333450317,91247.41250736863,31748500,52.189998626708984
2025-02-19,非必需消費品,1838340.3411865234,8125.620122662478,1998200,226.24000549316406
2025-02-20,公用事業,2173850.0,27088.473520249223,8695400,80.25
2025-02-20,原物料,148022.9766845703,1650.0164774852917,4934300,89.70999908447266
2025-02-20,工業,-6980025.0,-50631.25612285749,9306700,137.86000061035156
2025-02-20,必需消費品,9556962.707519531,117653.11230537789,14264000,81.2300033569336
2025-02-20,房地產,1144720.613861084,26883.996351221616,3947300,42.58000183105469
2025-02-20,科技業,-1616577.9006958008,-6696.3998018841485,2993700,241.41000366210938
2025-02-20,能源業,14591065.707397461,157129.71797860318,14166100,92.86000061035156
2025-02-20,醫療保健業,6452736.3525390625,43830.568530328426,6264800,147.22000122070312
2025-02-20,金融業,-33896865.46936035,-659600.4256070929,47078900,51.38999938964844
2025-02-20,非必需消費品,-3147050.3326416016,-14031.16691267998,2366200,224.2899932861328
2025-02-21,公用事業,77694.29779052734,967.9120597949901,7773700,80.2699966430664
2025-02-21,原物料,-9058138.481140137,-102851.57843224648,4977000,88.06999969482422
2025-02-21,工業,-46013445.32470703,-341244.7832570658,14561200,134.83999633789062
2025-02-21,必需消費品,17293079.44793701,210429.29403406044,18203300,82.18000030517578
2025-02-21,房地產,-1825959.0957641602,-43238.43513040836,5072100,42.22999954223633
2025-02-21,科技業,-29935370.764160156,-127455.06614935644,4528800,234.8699951171875
2025-02-21,能源業,-21424513.95187378,-235615.46112360767,15638300,90.93000030517578
2025-02-21,醫療保健業,8214623.611450195,56099.324061557854,8647000,146.42999267578125
2025-02-21,金融業,-34181326.0974884,-673523.6669455844,51789900,50.75
2025-02-21,非必需消費品,-29073280.876159668,-133125.51379373154,4521500,218.38999938964844
2025-02-24,公用事業,-4716789.436340332,-59055.83165316947,7487000,79.87000274658203
2025-02-24,原物料,-1512670.5574035645,-17195.29994785959,4727100,87.97000122070312
2025-02-24,工業,-12290046.105957031,-91559.61034896737,10876100,134.22999572753906
2025-02-24,必需消費品,8186261.84387207,99311.68037807292,14114200,82.43000030517578
2025-02-24,房地產,532219.2626953125,12546.42351882367,4435200,42.41999816894531
2025-02-24,科技業,-15900641.909790039,-68682.31301919249,3723800,231.50999450683594
2025-02-24,能源業,-1840655.9753417969,-20238.109258973116,13147600,90.94999694824219
2025-02-24,醫療保健業,7786172.772216797,52744.70281641574,7559400,147.6199951171875
2025-02-24,金融業,-1133503.9432525635,-22238.64854043115,56673900,50.970001220703125
2025-02-24,非必需消費品,-5358023.663330078,-24626.66490306107,2976700,217.57000732421875
2025-02-25,公用事業,764319.6678161621,9617.713049902979,10918900,79.47000122070312
2025-02-25,原物料,2877184.745788574,32455.552129332566,4640600,88.6500015258789
2025-02-25,工業,6730907.501220703,49888.13810086431,9898500,134.9199981689453
2025-02-25,必需消費品,16560107.803344727,198087.41753112606,18198000,83.5999984741211
2025-02-25,房地產,1766428.0883789062,41204.29513388947,5698200,42.869998931884766
2025-02-25,科技業,-13094218.9453125,-57302.60933913235,5216800,228.50999450683594
2025-02-25,能源業,-17162559.18045044,-191460.94709179972,13304300,89.63999938964844
2025-02-25,醫療保健業,11861552.815246582,79666.55157412309,11981300,148.88999938964844
2025-02-25,金融業,-15541236.846923828,-304969.33136051,50132800,50.959999084472656
2025-02-25,非必需消費品,-4083281.103515625,-18866.52146975075,4003200,216.42999267578125
2025-02-26,公用事業,1387964.3531799316,17393.036342112744,7710900,79.80000305175781
2025-02-26,原物料,-1433702.4307250977,-16179.916723277962,3982500,88.61000061035156
2025-02-26,工業,-5081549.084472656,-37641.104329427086,8330400,135.0
2025-02-26,必需消費品,-25560935.623168945,-311718.7271118164,19969500,82.0
2025-02-26,房地產,-1586943.0099487305,-37199.78939580328,5472200,42.65999984741211
2025-02-26,科技業,953825.0,4129.112554112554,3815300,231.0
2025-02-26,能源業,-7534769.378662109,-84536.85191124771,12152800,89.12999725341797
2025-02-26,醫療保健業,-3217667.87109375,-21767.47200422151,6566800,147.82000732421875
2025-02-26,金融業,-3750145.8320617676,-73749.18278454454,31250500,50.849998474121094
2025-02-26,非必需消費品,-7218748.748779297,-33491.458539651576,3071800,215.5399932861328
2025-02-27,公用事業,-19432853.260803223,-249043.36235821137,12537300,78.02999877929688
2025-02-27,原物料,-2268477.8366088867,-25775.22760535235,3544500,88.01000213623047
2025-02-27,工業,-7507176.251220703,-55802.99055481742,9624600,134.52999877929688
2025-02-27,必需消費品,5814769.649505615,70920.47568005972,16613700,81.98999786376953
2025-02-27,房地產,727309.2330932617,16973.37827287238,4040600,42.849998474121094
2025-02-27,科技業,-48833490.75317383,-219387.62548450203,5050000,222.58999633789062
2025-02-27,能源業,-2103350.830078125,-23472.27782336551,15024000,89.61000061035156
2025-02-27,醫療保健業,-2434423.5076904297,-16535.95630692118,7377000,147.22000122070312
2025-02-27,金融業,4437961.574554443,86797.60379121065,44378600,51.130001068115234
2025-02-27,非必需消費品,-13971947.074890137,-65772.00751597565,3399500,212.42999267578125
2025-02-28,公用事業,7401803.321838379,93433.51688694513,10885000,79.22000122070312
2025-02-28,原物料,1909920.0592041016,21517.800960310044,4658300,88.76000213623047
2025-02-28,工業,14139918.45703125,103718.31781058709,9888000,136.3300018310547
2025-02-28,必需消費品,5913911.744689941,71183.33671580837,15163900,83.08000183105469
2025-02-28,房地產,519435.88066101074,12037.911061242554,5771500,43.150001525878906
2025-02-28,科技業,27919251.300048828,123793.95845858422,7086100,225.52999877929688
2025-02-28,能源業,22366852.06298828,245789.58310976133,13313600,91.0
2025-02-28,醫療保健業,12426820.32623291,83440.68312207564,8453700,148.92999267578125
2025-02-28,金融業,50194367.16995239,961946.4713758073,63537100,52.18000030517578
2025-02-28,非必需消費品,13276336.975097656,61475.90554897477,3848200,215.9600067138672
2025-03-03,公用事業,1831281.5307617188,23084.35003772862,9638200,79.33000183105469
2025-03-03,原物料,-22032516.748046875,-253305.54032785696,8441600,86.9800033569336
2025-03-03,工業,-34624535.81237793,-257642.20529526193,12683000,134.38999938964844
2025-03-03,必需消費品,15891806.716918945,190275.47121241697,18918900,83.5199966430664
2025-03-03,房地產,2172358.053588867,49916.31504455403,9874300,43.52000045776367
2025-03-03,科技業,-50189988.73748779,-229523.8906011734,6258100,218.6699981689453
2025-03-03,能源業,-87370646.78649902,-994883.2508553097,24750900,87.81999969482422
2025-03-03,醫療保健業,5297184.906005859,35413.72403504074,9459300,149.5800018310547
2025-03-03,金融業,-44137907.04460144,-853071.2333349382,76100100,51.7400016784668
2025-03-03,非必需消費品,-28777062.1673584,-135753.66896575454,5491800,211.97999572753906
2025-03-04,公用事業,-14552371.327972412,-186473.23369106956,11280900,78.04000091552734
2025-03-04,原物料,-15537803.075408936,-181093.26949599225,11259300,85.80000305175781
2025-03-04,工業,-17318072.72796631,-131426.51716211313,15191300,131.77000427246094
2025-03-04,必需消費品,-27525502.667236328,-335268.0046140646,21845600,82.0999984741211
2025-03-04,房地產,-5273486.940765381,-122582.21489195016,9765700,43.02000045776367
2025-03-04,科技業,12847697.959899902,58799.532997253555,8860500,218.5
2025-03-04,能源業,11149001.861572266,128193.6495928007,25338500,86.97000122070312
2025-03-04,醫療保健業,-17287421.08001709,-116657.13472710461,10804700,148.19000244140625
2025-03-04,金融業,-129145423.16894531,-2587047.8346548756,99342400,49.91999816894531
2025-03-04,非必需消費品,-899697.184753418,-4320.481948810516,6921300,208.24000549316406
2025-03-05,公用事業,-309989.3859863281,-4000.379333230873,10333400,77.48999786376953
2025-03-05,原物料,12505413.201904297,142042.40199750787,8684300,88.04000091552734
2025-03-05,工業,19509343.395996094,145755.26713766562,12117600,133.85000610351562
2025-03-05,必需消費品,6886350.0,83531.65691491133,13772700,82.44000244140625
2025-03-05,房地產,4840761.056900024,111486.90145183413,5564100,43.41999816894531
2025-03-05,科技業,14257632.385253906,64348.20559621597,5965500,221.57000732421875
2025-03-05,能源業,-282614.3600463867,-3297.7172708310522,28255400,85.69999694824219
2025-03-05,醫療保健業,16410943.891906738,109640.19705328385,7597700,149.67999267578125
2025-03-05,金融業,20401693.589401245,406327.3045489943,75561700,50.209999084472656
2025-03-05,非必需消費品,15293603.636169434,72340.96481362711,5064100,211.41000366210938
2025-03-06,公用事業,-12829956.136322021,-169082.1903099648,12702900,75.87999725341797
2025-03-06,原物料,-184904.9591064453,-2111.269185208906,9246800,87.58000183105469
2025-03-06,工業,2766641.6061401367,20848.844534783428,12029100,132.6999969482422
2025-03-06,必需消費品,6315511.430358887,76468.23720055618,13729400,82.58999633789062
2025-03-06,房地產,-6602083.564758301,-156336.33995556235,7954300,42.22999954223633
2025-03-06,科技業,-13145650.146484375,-61023.350934089074,8216000,215.4199981689453
2025-03-06,能源業,15779863.874816895,183572.1736026319,23552100,85.95999908447266
2025-03-06,醫療保健業,1923024.429321289,12882.859076035218,7122200,149.27000427246094
2025-03-06,金融業,-13314529.486846924,-269634.0461491837,55477700,49.380001068115234
2025-03-06,非必需消費品,-10877250.160217285,-52789.37150748318,4877700,206.0500030517578
2025-03-07,公用事業,14405303.182983398,186379.90700410787,11617200,77.29000091552734
2025-03-07,原物料,4931177.501678467,56150.96240963767,7827300,87.81999969482422
2025-03-07,工業,40260403.41949463,299891.2731433492,17504500,134.25
2025-03-07,必需消費品,15704939.909362793,189535.8411016087,19631100,82.86000061035156
2025-03-07,房地產,1133374.919128418,26686.481906101864,7083600,42.470001220703125
2025-03-07,科技業,18978801.501464844,86843.60796431452,5631700,218.5399932861328
2025-03-07,能源業,24218609.060668945,277005.70715010306,22424600,87.43000030517578
2025-03-07,醫療保健業,5290046.337890625,35437.073828702916,8532400,149.27999877929688
2025-03-07,金融業,-6988271.94519043,-142269.383085312,87351400,49.119998931884766
2025-03-07,非必需消費品,4360463.009643555,21201.25953451753,4899400,205.6699981689453
2025-03-10,公用事業,20921539.305877686,267744.2983017128,18679900,78.13999938964844
2025-03-10,原物料,-8753245.440673828,-101793.76274135092,8336400,85.98999786376953
2025-03-10,工業,-5898311.769104004,-44633.46228925492,15123900,132.14999389648438
2025-03-10,必需消費品,-8497498.077392578,-102775.73834092781,27411500,82.68000030517578
2025-03-10,房地產,-3495046.9104766846,-83096.6903557001,9446100,42.060001373291016
2025-03-10,科技業,-53486159.13696289,-255608.88476445826,10761800,209.25
2025-03-10,能源業,3402989.3463134766,38635.209758972465,20017800,88.08000183105469
2025-03-10,醫療保健業,-6109383.567810059,-41371.867295755466,13576500,147.6699981689453
2025-03-10,金融業,-21108014.78691101,-439567.15088906995,78177700,48.02000045776367
2025-03-10,非必需消費品,-33218742.39807129,-167492.27091909334,7205800,198.3300018310547
